item1,item2,n,correlation
min,apprécier,37,0.12092697895585452
vanille,apprécier,37,0.05628521769224407
apprécier,min,37,0.12092697895585452
ajouter,vouloir,37,0.039065411262802385
blanc,mets,37,0.07135495622788574
gâteau,mets,37,0.12434693751579236
pâte,mets,37,0.05076718342510478
recette,pot,37,0.04387587366965422
délicieux,fromage,37,0.17849655945812526
prendre,blanc,37,0.09030444797407569
mets,blanc,37,0.07135495622788574
conseil,blanc,37,0.17795244950235842
tester,blanc,37,-0.0063744527700326315
également,blanc,37,0.16090075602450377
vanillé,blanc,37,0.07459040371259017
quantité,place,37,0.07805667457312862
dommage,crème,37,0.18323789960973094
également,crème,37,0.09846673847763761
rhum,crème,37,0.005953644236831762
fraise,sucre,37,0.012941355640359756
chaud,sucre,37,0.09711904032029905
attendre,sucre,37,0.09058045360039683
yaourt,sucre,37,0.046547341898007556
framboise,goût,37,0.028538830136744076
agréable,goût,37,0.22395016427021916
doubler,goût,37,0.1037559437094435
huile,goût,37,0.11097695533166502
blanc,conseil,37,0.17795244950235842
petit,framboise,37,0.04987788716648012
goût,framboise,37,0.028538830136744076
adorer,framboise,37,0.04069459595058471
régal,mélanger,37,0.09804536281916507
beurre,mélanger,37,0.11209793335098217
falloir,donner,37,0.09433278816231942
cuisson,consistance,37,0.12771683380088295
glace,excellent,37,0.07175760348663664
devoir,excellent,37,0.08587296332064394
pomme,excellent,37,0.024078004469024947
fin,excellent,37,0.12504072095881522
fondant,excellent,37,0.06227841277667255
goûter,excellent,37,0.09382896684249747
voir,excellent,37,0.07414967335046332
soupe,frais,37,0.1538758831241213
attention,léger,37,0.10323042115694975
morceau,léger,37,0.06598713298050875
famille,léger,37,0.05678726152896584
idéal,ajouter,37,0.09774474918784591
cas,ajouter,37,0.10211813337086981
vouloir,ajouter,37,0.039065411262802385
muffin,ajouter,37,0.10927296376968668
huile,ajouter,37,0.10616775034886691
lourd,ajouter,37,0.09771075139175471
maïzena,ajouter,37,0.18189741653604552
monde,fondre,37,0.07647804800494802
rapide,fondre,37,0.176320387898982
exceller,chaud,37,0.06109332536317762
sucre,chaud,37,0.09711904032029905
aimer,vite,37,0.08898926489311614
grand,vite,37,0.25871401140542705
simplement,vrai,37,0.06756478964064955
dommage,vrai,37,0.15094402257295383
mélanger,régal,37,0.09804536281916507
devoir,régal,37,0.09864820171105382
levure,régal,37,0.11484725792466689
attention,régal,37,0.03646993854522161
moule,oeuf,37,0.11023377685541663
petit,indiquer,37,0.03763642084438038
cuire,indiquer,37,0.18168124870328345
également,moelleux,37,0.12654876479595317
pépite,moelleux,37,0.21206635570812837
noisette,moelleux,37,0.1473041438158066
sachet,moelleux,37,0.11192348869251381
goûter,moelleux,37,0.14786442932527166
donne,moelleux,37,0.12743086913949234
gros,gâteau,37,0.1327759448757047
fond,gâteau,37,0.09116690737693514
mets,gâteau,37,0.12434693751579236
laisser,gâteau,37,0.1720086032796708
donne,gâteau,37,0.18789839728345464
blanc,tester,37,-0.0063744527700326315
framboise,adorer,37,0.04069459595058471
doubler,adorer,37,0.1481920590064844
fond,cuillère,37,0.15694386735702712
également,cuillère,37,0.21039367630198227
attention,cuillère,37,0.1582196938933636
excellent,devoir,37,0.08587296332064394
régal,devoir,37,0.09864820171105382
mieux,parfaire,37,0.053127806730268734
effectivement,parfaire,37,0.1379247174879763
mari,parfaire,37,0.06642426682513551
génial,parfaire,37,0.08248341641730045
neige,parfaire,37,0.08822750840480038
décevoir,four,37,0.10722937411958905
fond,four,37,0.1261521752551682
moitié,four,37,0.1257605854511957
top,four,37,0.10071692104363615
morceau,four,37,0.17913889024383073
rhum,four,37,0.12774748309992673
falloir,lieu,37,0.10153105609154975
délice,lieu,37,0.08368889524188533
petit,obtenir,37,0.11399980266336555
cas,cuisson,37,0.08922905345965466
consistance,cuisson,37,0.12771683380088295
génial,cuisson,37,0.12161867964175017
maison,cuisson,37,0.06750467172358846
manque,cuisson,37,0.10039430853598919
maïzena,cuisson,37,0.23026399034487632
prendre,aimer,37,0.03793763206846314
servi,aimer,37,0.16292731336905436
vite,aimer,37,0.08898926489311614
délicieux,confiture,37,0.055697369693240344
indiquer,cuire,37,0.18168124870328345
morceau,cuire,37,0.11554269321795214
four,moitié,37,0.1257605854511957
succès,temps,37,0.08832095962035298
conseiller,temps,37,0.061184120441690686
poudre,sec,37,0.08482981925106078
vite,grand,37,0.25871401140542705
proportion,grand,37,0.11725609897904692
amande,grand,37,0.11565658966459867
poudre,grand,37,0.0898726886032693
servi,falloir,37,0.039130793887011614
donner,falloir,37,0.09433278816231942
lieu,falloir,37,0.10153105609154975
vanillé,falloir,37,0.08648601881729054
parfaire,effectivement,37,0.1379247174879763
résultat,effectivement,37,0.1434481007950259
fruit,manger,37,0.076457114502869
inviter,manger,37,0.05444457270248411
fond,manger,37,0.06072349385661408
texture,manger,37,0.14487985528094968
attention,manger,37,0.11015875704571801
fondre,rapide,37,0.176320387898982
tarte,rapide,37,0.07699695081052037
suivi,coup,37,0.10600658355839836
suivi,pomme,37,0.07803154295538828
excellent,pomme,37,0.024078004469024947
apprécier,vanille,37,0.05628521769224407
morceau,vanille,37,0.12960765860867796
proportion,enfant,37,0.06384454637901517
mal,enfant,37,0.11172452711350901
famille,enfant,37,0.11785825628010578
levure,trouver,37,0.13928299814745426
ingrédient,trouver,37,0.1097714510320452
petit,préférer,37,0.07310932985552156
facile,préférer,37,0.06804503848263169
mets,pâte,37,0.05076718342510478
jus,pâte,37,0.10282724211129825
couper,pâte,37,0.17069230611460715
parfaire,mari,37,0.06642426682513551
délice,mari,37,0.12636097861372414
dessert,fin,37,0.17698145980212623
excellent,fin,37,0.12504072095881522
résultat,fin,37,0.1327139599044478
oeuf,moule,37,0.11023377685541663
fondant,moule,37,0.20212485283401035
blanc,également,37,0.16090075602450377
crème,également,37,0.09846673847763761
moelleux,également,37,0.12654876479595317
cuillère,également,37,0.21039367630198227
prochain,pépite,37,0.21456212486138818
moelleux,pépite,37,0.21206635570812837
lettre,proportion,37,0.1691867495904451
grand,proportion,37,0.11725609897904692
enfant,proportion,37,0.06384454637901517
monde,gourmand,37,0.09376447152557167
succès,minute,37,0.08648949732326867
mélanger,beurre,37,0.11209793335098217
essayer,noix,37,0.09234794285873828
sucrer,noix,37,0.04025598022659224
servi,délice,37,0.1297438296863883
dommage,délice,37,0.09153250300636866
lieu,délice,37,0.08368889524188533
mari,délice,37,0.12636097861372414
levure,délice,37,0.056409768005260076
citron,délice,37,0.11896519956892557
ingrédient,délice,37,0.11264967127716827
quantité,levure,37,0.08370330207515427
réaliser,levure,37,0.11556075161063978
régal,levure,37,0.11484725792466689
trouver,levure,37,0.13928299814745426
délice,levure,37,0.056409768005260076
rajouter,levure,37,0.18691637360422508
effectivement,résultat,37,0.1434481007950259
fin,résultat,37,0.1327139599044478
manger,texture,37,0.14487985528094968
délicieux,base,37,0.016308932144423315
grand,amande,37,0.11565658966459867
remplacer,dose,37,0.14800570969495225
lettre,lait,37,0.09778512975257678
conseiller,lait,37,0.03340312794501091
refaire,venir,37,0.12621053036770233
levure,rajouter,37,0.18691637360422508
commentaire,conseiller,37,0.22219933607856515
temps,conseiller,37,0.061184120441690686
lait,conseiller,37,0.03340312794501091
farine,conseiller,37,0.10605994249343872
décevoir,farine,37,0.12754374120677361
conseiller,farine,37,0.10605994249343872
mal,farine,37,0.15151262708712493
fondant,farine,37,0.08716387136713487
top,farine,37,0.07499310591417696
part,réussi,37,0.15642642207033058
simple,biscuit,37,0.026585312384961503
réaliser,mal,37,0.042213994183097715
enfant,mal,37,0.11172452711350901
farine,mal,37,0.15151262708712493
super,noisette,37,0.023426887053007852
facile,noisette,37,0.07233109758335678
moelleux,noisette,37,0.1473041438158066
moelleux,sachet,37,0.11192348869251381
blanc,vanillé,37,0.07459040371259017
falloir,vanillé,37,0.08648601881729054
super,classique,37,0.046583057854979404
préparation,remplacer,37,0.1082818190929488
dose,remplacer,37,0.14800570969495225
goût,agréable,37,0.22395016427021916
essayer,mélange,37,0.10692763385398384
meilleur,mélange,37,0.15992315416518274
simple,jus,37,0.08908504095478924
pâte,jus,37,0.10282724211129825
faire,incorporer,37,0.059741221851467546
mettre,incorporer,37,0.12631745911832504
suivi,fondant,37,0.10528079819793734
excellent,fondant,37,0.06227841277667255
moule,fondant,37,0.20212485283401035
farine,fondant,37,0.08716387136713487
gâteau,laisser,37,0.1720086032796708
exceller,redemander,37,0.18466592004851362
petit,génial,37,0.08206675729835704
parfaire,génial,37,0.08248341641730045
cuisson,génial,37,0.12161867964175017
délicieux,tiède,37,0.16479540943352491
refaire,parfumer,37,0.15882086339779955
parfaire,neige,37,0.08822750840480038
bon,oublier,37,0.08953051500940572
délice,citron,37,0.11896519956892557
exceller,saler,37,0.13743295740215655
frais,soupe,37,0.1538758831241213
goût,doubler,37,0.1037559437094435
adorer,doubler,37,0.1481920590064844
petit,demi,37,0.13717378808435476
facile,fille,37,0.04289941554940589
préparation,meilleur,37,0.07661299933036288
fond,meilleur,37,0.11721762789121504
mélange,meilleur,37,0.15992315416518274
rhum,meilleur,37,0.10408366807990364
super,pâtissier,37,0.1019069545487348
exceller,pâtissier,37,0.04744010994808689
dessert,goûter,37,0.11291588815837533
excellent,goûter,37,0.09382896684249747
moelleux,goûter,37,0.14786442932527166
ajouter,muffin,37,0.10927296376968668
sec,poudre,37,0.08482981925106078
grand,poudre,37,0.0898726886032693
monde,ingrédient,37,0.11417897136400518
réaliser,ingrédient,37,0.1323177891645754
trouver,ingrédient,37,0.1097714510320452
délice,ingrédient,37,0.11264967127716827
simple,ami,37,0.07683366782959256
monde,voir,37,0.13610791059996113
excellent,voir,37,0.07414967335046332
super,dur,37,0.06296292393888667
exceller,dur,37,0.08492127346073731
four,top,37,0.10071692104363615
farine,top,37,0.07499310591417696
léger,attention,37,0.10323042115694975
régal,attention,37,0.03646993854522161
cuillère,attention,37,0.1582196938933636
manger,attention,37,0.11015875704571801
pâte,couper,37,0.17069230611460715
quantité,maison,37,0.19764339253278063
cuisson,maison,37,0.06750467172358846
faire,fleur,37,0.11141614534093353
bon,déguster,37,0.07389545946635452
facile,déguster,37,0.1176510565812393
cuisson,manque,37,0.10039430853598919
facile,tuerie,37,0.09878728256403226
quantité,morceau,37,0.15250712965431085
prochain,morceau,37,0.11808632007458751
dessert,morceau,37,0.0918909276483244
sucrer,morceau,37,0.08370950883766747
léger,morceau,37,0.06598713298050875
four,morceau,37,0.17913889024383073
cuire,morceau,37,0.11554269321795214
vanille,morceau,37,0.12960765860867796
crème,rhum,37,0.005953644236831762
four,rhum,37,0.12774748309992673
meilleur,rhum,37,0.10408366807990364
facile,huile,37,0.12483217513669913
goût,huile,37,0.11097695533166502
ajouter,huile,37,0.10616775034886691
léger,famille,37,0.05678726152896584
enfant,famille,37,0.11785825628010578
sucre,attendre,37,0.09058045360039683
délicieux,garder,37,0.07709445927917687
ajouter,lourd,37,0.09771075139175471
monde,tarte,37,0.09371722515688073
fond,tarte,37,0.3472136798404628
rapide,tarte,37,0.07699695081052037
délicieux,maïzena,37,0.11935800406878865
ajouter,maïzena,37,0.18189741653604552
cuisson,maïzena,37,0.23026399034487632
NA,jaune,37,0.11083165653825507
recette,orange,37,0.04778127655848732
mettre,froid,37,0.08381572130803785
moelleux,donne,37,0.12743086913949234
gâteau,donne,37,0.18789839728345464
refaire,monter,37,0.03776664860533567
facile,monter,37,0.09561300083254418
bon,yaourt,37,0.02539523507363263
sucre,yaourt,37,0.046547341898007556
mousse,délicieux,36,0.09838841455190314
coulis,délicieux,36,0.06327113314713766
retrouver,délicieux,36,0.04324809012213031
garde,délicieux,36,0.05909521131862679
repas,délicieux,36,0.10829384447659482
pouvoir,délicieux,36,0.09258286096571595
dur,délicieux,36,0.030378619685956933
froid,délicieux,36,0.11516685206442424
redire,délicieux,36,0.11757991727672518
changer,utiliser,36,0.1140586049962399
gros,utiliser,36,0.14674286975727358
mélanger,utiliser,36,0.10354854900765409
fondre,utiliser,36,0.1256207310113827
dose,utiliser,36,0.0835981292532098
cannelle,utiliser,36,0.055091694611812486
café,utiliser,36,0.11225712092090875
régaler,fruit,36,0.04208929196001748
part,fruit,36,0.04386773120937097
moule,fruit,36,0.06545216787378542
meilleur,fruit,36,0.027475969576935284
refaire,diviser,36,0.02700974955400042
goût,diviser,36,0.0424116249308224
ajouter,diviser,36,0.09322255706954448
adorer,diviser,36,0.05741822414613985
vite,quantité,36,0.09700526876674896
oeuf,quantité,36,0.07984306024383608
fin,quantité,36,0.10526979655218564
vanillé,quantité,36,0.09297499846744037
mélange,quantité,36,0.04758942137829458
gonfler,faire,36,0.0670953334095916
miel,faire,36,0.08241903716903527
orange,NA,36,0.02959230846051398
réussite,petit,36,0.09568716023993275
doubler,petit,36,0.0942924098089642
problème,petit,36,0.08932652161677869
mousse,bon,36,0.08438162550491243
frigo,bon,36,0.10585617558934525
entier,bon,36,0.05910706657596624
accompagner,bon,36,0.04506873647805709
problème,bon,36,0.10556349707857036
redire,bon,36,0.11153793999313345
moitié,succès,36,0.1035912724218519
amande,succès,36,0.1036302986763221
poudre,succès,36,0.09880540251489657
mousse,super,36,0.07169012687070812
obtenir,super,36,0.08105092526639972
base,super,36,0.09902055122657662
original,super,36,0.020805084106822924
cake,super,36,0.044531653688234
tenir,monde,36,0.09823118276768522
mari,monde,36,0.16500250443559242
dose,monde,36,0.07702153993067896
sachet,monde,36,0.02109131522525702
laisser,monde,36,0.04073081260477841
redemander,monde,36,0.26015356449276283
noir,monde,36,0.1354995227091216
fruit,régaler,36,0.04208929196001748
commentaire,régaler,36,0.11272073802401507
lettre,régaler,36,0.1641078577368023
frais,régaler,36,0.05202830754618158
gâteau,prendre,36,0.02504894969514105
rapide,prendre,36,0.07685967986439486
délice,prendre,36,0.05644135602484357
simple,simplement,36,0.08410323446956988
délice,simplement,36,0.0670442119782121
diviser,refaire,36,0.02700974955400042
heure,refaire,36,0.05142478967181075
coulis,refaire,36,0.13375270708996218
partie,refaire,36,0.08618831895979712
gonfler,refaire,36,0.15709523503813225
réussite,refaire,36,0.06306595848173013
tiède,refaire,36,0.1539968979306363
oublier,refaire,36,0.1073514319766803
respecter,refaire,36,0.05597588279220893
redire,refaire,36,0.16180093078604607
utiliser,changer,36,0.1140586049962399
vrai,changer,36,0.08883055100559775
pâte,changer,36,0.06154714285732345
râper,recette,36,0.0097119266348546
fin,prochain,36,0.14167009217478485
dose,prochain,36,0.17692416291106025
tarte,prochain,36,0.1334998318716818
texture,essayer,36,0.1612421504933797
mal,essayer,36,0.08063954764877576
goûter,essayer,36,0.13445490721973474
cannelle,essayer,36,0.1099529209235647
délice,mieux,36,0.0996810367553723
glace,dessert,36,0.13893621717637136
mélange,dessert,36,0.0967688696445289
rhum,dessert,36,0.0432783462083968
parfaire,idéal,36,0.139074247550925
délicieux,mousse,36,0.09838841455190314
bon,mousse,36,0.08438162550491243
super,mousse,36,0.07169012687070812
refaire,heure,36,0.05142478967181075
bon,frigo,36,0.10585617558934525
délicieux,coulis,36,0.06327113314713766
refaire,coulis,36,0.13375270708996218
retrouver,exceller,36,0.061135105460820426
repas,exceller,36,0.10015078727787673
miam,exceller,36,0.08463292348213357
base,exceller,36,0.0456192976248587
parfumer,exceller,36,0.13482364806700592
oublier,exceller,36,0.12657520006901934
fille,exceller,36,0.10785512972471298
gras,exceller,36,0.04972845100573216
attendre,exceller,36,0.059085464806283794
boule,facile,36,0.08996178083913303
épais,facile,36,0.14490057014004432
caramel,facile,36,0.07446019017514498
rester,facile,36,0.06521662593651249
simplement,simple,36,0.08410323446956988
lieu,simple,36,0.04012953509283897
gourmand,simple,36,0.06341195408807543
ingrédient,simple,36,0.08419431526077104
suffire,simple,36,0.09812829567007463
café,simple,36,0.06870079948512293
idée,simple,36,0.14945750106049252
rester,simple,36,0.11229981521372571
délicieux,retrouver,36,0.04324809012213031
exceller,retrouver,36,0.061135105460820426
dessert,glace,36,0.13893621717637136
moule,inviter,36,0.034740313493082674
rajouter,inviter,36,0.030156030276385772
raisin,mettre,36,0.1340006179913168
accompagner,mettre,36,0.08916984370781285
moule,préparation,36,0.08286352966131193
régaler,commentaire,36,0.11272073802401507
four,commentaire,36,0.11696705546273402
minute,commentaire,36,0.15035212570967052
soupe,commentaire,36,0.1396214672994005
goûter,suivi,36,0.10735837219609784
recommander,suivi,36,0.11884675405043311
régaler,lettre,36,0.1641078577368023
rapide,lettre,36,0.0441574184646448
rajouter,lettre,36,0.03872733558194262
part,décevoir,36,0.1113135577418483
min,décevoir,36,0.09285491508731578
aimer,décevoir,36,0.07524801926604352
liquide,décevoir,36,0.3088508759397409
pâte,pourtant,36,0.042410813107027545
fruit,part,36,0.04386773120937097
décevoir,part,36,0.1113135577418483
conseiller,part,36,0.100124775269644
goûter,part,36,0.2039207968698402
famille,part,36,0.13761610742361252
utiliser,gros,36,0.14674286975727358
sucrer,gros,36,0.09588974447876213
aimer,dommage,36,0.06933679820713949
refaire,partie,36,0.08618831895979712
gros,sucrer,36,0.09588974447876213
devoir,sucrer,36,0.06191367527078497
sachet,sucrer,36,0.026029445008411735
amande,fond,36,0.11936541569117941
poudre,fond,36,0.16732206018967902
proportion,apprécier,36,0.1417223794492547
décevoir,min,36,0.09285491508731578
goûter,min,36,0.11763999850981745
adorer,vouloir,36,0.08178222419750122
cuisson,vouloir,36,0.09293998919049518
monter,blanc,36,0.2497068120102295
fondre,crème,36,0.12806424812291142
épais,crème,36,0.18534307982530096
entier,sucre,36,0.03389478158547664
venir,sucre,36,0.14391373705312174
gonfler,sucre,36,0.08636105167086927
diviser,goût,36,0.0424116249308224
extra,goût,36,0.06262179697132964
dur,goût,36,0.05862889779955891
utiliser,mélanger,36,0.10354854900765409
délice,mélanger,36,0.10395840389931742
bon,entier,36,0.05910706657596624
sucre,entier,36,0.03389478158547664
ajoute,excellent,36,0.047111726260986794
sachet,excellent,36,-0.021146190909964446
régaler,frais,36,0.05202830754618158
grand,frais,36,0.11725132353965298
amande,frais,36,0.025227715002118133
tenir,léger,36,0.19838764612691942
lieu,léger,36,0.11030581544574379
diviser,ajouter,36,0.09322255706954448
obtenir,ajouter,36,0.07956307911950007
préférer,ajouter,36,0.050688237704817334
an,ajouter,36,0.06327456239426947
épais,ajouter,36,0.1513730352801313
noisette,ajouter,36,0.10668830376758723
classique,ajouter,36,0.08635270782186517
oublier,ajouter,36,0.1827726084636468
demi,ajouter,36,0.18238916962437646
fille,ajouter,36,0.09197788819427431
cake,ajouter,36,0.16549949157299665
utiliser,fondre,36,0.1256207310113827
crème,fondre,36,0.12806424812291142
cuisson,eau,36,0.04890040607950105
monde,tenir,36,0.09823118276768522
léger,tenir,36,0.19838764612691942
délice,tenir,36,0.09686142854399885
adorer,sympa,36,0.09591735141408127
quantité,vite,36,0.09700526876674896
gâteau,vite,36,0.1101943797561695
délice,vite,36,0.03996159734641223
résultat,vite,36,0.13928350415499316
remplacer,vite,36,0.14907066290378676
changer,vrai,36,0.08883055100559775
ajoute,régal,36,0.15117311931912833
devenir,régal,36,0.11017783329644679
noir,régal,36,0.12762566235818928
goûter,régal,36,0.09470138219681093
préparer,régal,36,0.13319228641379477
quantité,oeuf,36,0.07984306024383608
sec,oeuf,36,0.12990337713481187
vanille,oeuf,36,0.09921343597685292
prendre,gâteau,36,0.02504894969514105
vite,gâteau,36,0.1101943797561695
vanillé,gâteau,36,0.05201762811893371
diviser,adorer,36,0.05741822414613985
vouloir,adorer,36,0.08178222419750122
sympa,adorer,36,0.09591735141408127
effectivement,adorer,36,0.09318622063536827
redemander,adorer,36,0.13604554013306724
tarte,adorer,36,0.0810539555317463
monter,adorer,36,0.0879389547625975
texture,cuillère,36,0.1497059020938767
mal,cuillère,36,0.09244533359830417
sucrer,devoir,36,0.06191367527078497
idéal,parfaire,36,0.139074247550925
garde,parfaire,36,0.1267776735427976
beau,parfaire,36,0.06194536173948762
commentaire,four,36,0.11696705546273402
conseiller,four,36,0.15329277841127806
simple,lieu,36,0.04012953509283897
léger,lieu,36,0.11030581544574379
super,obtenir,36,0.08105092526639972
ajouter,obtenir,36,0.07956307911950007
vouloir,cuisson,36,0.09293998919049518
eau,cuisson,36,0.04890040607950105
gourmand,cuisson,36,0.014919447316243542
café,cuisson,36,0.03207190620520163
décevoir,aimer,36,0.07524801926604352
dommage,aimer,36,0.06933679820713949
vanillé,aimer,36,0.022831331014838113
délicieux,garde,36,0.05909521131862679
parfaire,garde,36,0.1267776735427976
excellent,ajoute,36,0.047111726260986794
régal,ajoute,36,0.15117311931912833
tarte,cuire,36,0.10572192041719074
succès,moitié,36,0.1035912724218519
vanille,moitié,36,0.09784266579235647
également,temps,36,0.18590333966982872
oeuf,sec,36,0.12990337713481187
frais,grand,36,0.11725132353965298
morceau,grand,36,0.17143247078595075
devenir,falloir,36,0.131557983762292
goûter,falloir,36,0.056116384174039725
ingrédient,falloir,36,0.1376735693858265
adorer,effectivement,36,0.09318622063536827
trouver,effectivement,36,0.14909966435194985
également,manger,36,0.15873808330059
conseiller,manger,36,0.1206607939427582
mélange,manger,36,0.08528636336287924
régal,devenir,36,0.11017783329644679
falloir,devenir,36,0.131557983762292
prendre,rapide,36,0.07685967986439486
lettre,rapide,36,0.0441574184646448
soupe,rapide,36,0.054085306621468814
morceau,rapide,36,0.09545580016187977
délice,coup,36,0.05578944931796787
oeuf,vanille,36,0.09921343597685292
moitié,vanille,36,0.09784266579235647
effectivement,trouver,36,0.14909966435194985
fin,trouver,36,0.09819066897116104
également,trouver,36,0.11645208086197396
tarte,trouver,36,0.17127553544845464
ajouter,préférer,36,0.050688237704817334
facile,boule,36,0.08996178083913303
changer,pâte,36,0.06154714285732345
pourtant,pâte,36,0.042410813107027545
sirop,pâte,36,0.07973375789546687
gourmand,pâte,36,0.06943088872890983
épais,pâte,36,0.12657435291601815
ingrédient,pâte,36,0.1048659994505432
ajouter,an,36,0.06327456239426947
monde,mari,36,0.16500250443559242
beurre,mari,36,0.1372324941561437
quantité,fin,36,0.10526979655218564
prochain,fin,36,0.14167009217478485
trouver,fin,36,0.09819066897116104
fruit,moule,36,0.06545216787378542
inviter,moule,36,0.034740313493082674
préparation,moule,36,0.08286352966131193
muffin,moule,36,0.29349185924701643
délicieux,repas,36,0.10829384447659482
exceller,repas,36,0.10015078727787673
pâte,sirop,36,0.07973375789546687
temps,également,36,0.18590333966982872
manger,également,36,0.15873808330059
trouver,également,36,0.11645208086197396
café,chocolat,36,0.2744897795259517
apprécier,proportion,36,0.1417223794492547
lait,proportion,36,0.07998743332821882
simple,gourmand,36,0.06341195408807543
cuisson,gourmand,36,0.014919447316243542
pâte,gourmand,36,0.06943088872890983
commentaire,minute,36,0.15035212570967052
mari,beurre,36,0.1372324941561437
ingrédient,beurre,36,0.0840517255395717
tarte,beurre,36,0.0710976009516262
remplacer,coco,36,0.19192748990213576
prendre,délice,36,0.05644135602484357
simplement,délice,36,0.0670442119782121
mieux,délice,36,0.0996810367553723
mélanger,délice,36,0.10395840389931742
tenir,délice,36,0.09686142854399885
vite,délice,36,0.03996159734641223
coup,délice,36,0.05578944931796787
réduire,délice,36,0.09518398933025796
diminuer,délice,36,0.14911918124675538
exceller,miam,36,0.08463292348213357
vite,résultat,36,0.13928350415499316
essayer,texture,36,0.1612421504933797
cuillère,texture,36,0.1497059020938767
rajouter,texture,36,0.0780729967421046
super,base,36,0.09902055122657662
exceller,base,36,0.0456192976248587
succès,amande,36,0.1036302986763221
fond,amande,36,0.11936541569117941
frais,amande,36,0.025227715002118133
délice,réduire,36,0.09518398933025796
utiliser,dose,36,0.0835981292532098
monde,dose,36,0.07702153993067896
prochain,dose,36,0.17692416291106025
rajouter,dose,36,0.14194074715643232
proportion,lait,36,0.07998743332821882
réussi,lait,36,0.03262139442230309
sucre,venir,36,0.14391373705312174
facile,épais,36,0.14490057014004432
crème,épais,36,0.18534307982530096
ajouter,épais,36,0.1513730352801313
pâte,épais,36,0.12657435291601815
faire,gonfler,36,0.0670953334095916
refaire,gonfler,36,0.15709523503813225
sucre,gonfler,36,0.08636105167086927
inviter,rajouter,36,0.030156030276385772
lettre,rajouter,36,0.03872733558194262
texture,rajouter,36,0.0780729967421046
dose,rajouter,36,0.14194074715643232
part,conseiller,36,0.100124775269644
four,conseiller,36,0.15329277841127806
manger,conseiller,36,0.1206607939427582
délicieux,pouvoir,36,0.09258286096571595
sachet,farine,36,0.16515770040388422
lait,réussi,36,0.03262139442230309
essayer,mal,36,0.08063954764877576
cuillère,mal,36,0.09244533359830417
ajouter,noisette,36,0.10668830376758723
monde,sachet,36,0.02109131522525702
sucrer,sachet,36,0.026029445008411735
excellent,sachet,36,-0.021146190909964446
farine,sachet,36,0.16515770040388422
quantité,vanillé,36,0.09297499846744037
gâteau,vanillé,36,0.05201762811893371
aimer,vanillé,36,0.022831331014838113
ajouter,classique,36,0.08635270782186517
vite,remplacer,36,0.14907066290378676
coco,remplacer,36,0.19192748990213576
attention,remplacer,36,0.10550417723339706
morceau,remplacer,36,0.12325185141287805
quantité,mélange,36,0.04758942137829458
dessert,mélange,36,0.0967688696445289
manger,mélange,36,0.08528636336287924
décevoir,liquide,36,0.3088508759397409
meilleur,liquide,36,0.05927870713165238
top,liquide,36,0.19350634254923255
facile,caramel,36,0.07446019017514498
monde,laisser,36,0.04073081260477841
petit,réussite,36,0.09568716023993275
refaire,réussite,36,0.06306595848173013
monde,redemander,36,0.26015356449276283
adorer,redemander,36,0.13604554013306724
super,original,36,0.020805084106822924
refaire,tiède,36,0.1539968979306363
exceller,parfumer,36,0.13482364806700592
refaire,oublier,36,0.1073514319766803
exceller,oublier,36,0.12657520006901934
ajouter,oublier,36,0.1827726084636468
monde,noir,36,0.1354995227091216
régal,noir,36,0.12762566235818928
commentaire,soupe,36,0.1396214672994005
rapide,soupe,36,0.054085306621468814
petit,doubler,36,0.0942924098089642
goût,extra,36,0.06262179697132964
ajouter,demi,36,0.18238916962437646
exceller,fille,36,0.10785512972471298
ajouter,fille,36,0.09197788819427431
fruit,meilleur,36,0.027475969576935284
liquide,meilleur,36,0.05927870713165238
exceller,gras,36,0.04972845100573216
faire,miel,36,0.08241903716903527
essayer,goûter,36,0.13445490721973474
suivi,goûter,36,0.10735837219609784
part,goûter,36,0.2039207968698402
min,goûter,36,0.11763999850981745
régal,goûter,36,0.09470138219681093
falloir,goûter,36,0.056116384174039725
poudre,goûter,36,0.1572411194033876
moule,muffin,36,0.29349185924701643
suivi,recommander,36,0.11884675405043311
succès,poudre,36,0.09880540251489657
fond,poudre,36,0.16732206018967902
goûter,poudre,36,0.1572411194033876
cannelle,poudre,36,0.05209524551621478
mettre,raisin,36,0.1340006179913168
simple,ingrédient,36,0.08419431526077104
falloir,ingrédient,36,0.1376735693858265
pâte,ingrédient,36,0.1048659994505432
beurre,ingrédient,36,0.0840517255395717
régal,préparer,36,0.13319228641379477
simple,suffire,36,0.09812829567007463
utiliser,cannelle,36,0.055091694611812486
essayer,cannelle,36,0.1099529209235647
poudre,cannelle,36,0.05209524551621478
délicieux,dur,36,0.030378619685956933
goût,dur,36,0.05862889779955891
liquide,top,36,0.19350634254923255
remplacer,attention,36,0.10550417723339706
bon,accompagner,36,0.04506873647805709
mettre,accompagner,36,0.08916984370781285
refaire,respecter,36,0.05597588279220893
utiliser,café,36,0.11225712092090875
simple,café,36,0.06870079948512293
cuisson,café,36,0.03207190620520163
chocolat,café,36,0.2744897795259517
grand,morceau,36,0.17143247078595075
rapide,morceau,36,0.09545580016187977
remplacer,morceau,36,0.12325185141287805
dessert,rhum,36,0.0432783462083968
recette,râper,36,0.0097119266348546
part,famille,36,0.13761610742361252
exceller,attendre,36,0.059085464806283794
parfaire,beau,36,0.06194536173948762
prochain,tarte,36,0.1334998318716818
