item1,item2,n,correlation
simple,NA,242,0.1793316192327331
goût,refaire,242,0.23419953237749316
excellent,recette,242,0.49915881780699384
NA,simple,242,0.1793316192327331
refaire,goût,242,0.23419953237749316
recette,excellent,242,0.49915881780699384
facile,refaire,241,0.2634283531717165
refaire,facile,241,0.2634283531717165
adorer,délicieux,239,0.34697095409344825
facile,exceller,239,0.266157487345082
exceller,facile,239,0.266157487345082
délicieux,adorer,239,0.34697095409344825
cuisson,mettre,237,0.2949941113163
mettre,cuisson,237,0.2949941113163
ajouter,refaire,235,0.3340072910888244
refaire,ajouter,235,0.3340072910888244
ajouter,délicieux,234,0.3208467883869765
refaire,petit,234,0.31356123551423276
petit,refaire,234,0.31356123551423276
délicieux,ajouter,234,0.3208467883869765
exceller,petit,233,0.2832266008731464
recette,monde,233,0.37746283788310264
monde,recette,233,0.37746283788310264
petit,exceller,233,0.2832266008731464
adorer,refaire,232,0.36052056429573215
goût,exceller,232,0.2012763097083356
exceller,goût,232,0.2012763097083356
refaire,adorer,232,0.36052056429573215
pâte,NA,230,0.18377211386833636
NA,pâte,230,0.18377211386833636
goût,super,229,0.20755080661877912
super,goût,229,0.20755080661877912
falloir,recette,228,0.2775627752392177
beurre,recette,228,0.29697692444853097
recette,falloir,228,0.2775627752392177
recette,beurre,228,0.29697692444853097
parfaire,bon,227,0.3327239807614938
bon,parfaire,227,0.3327239807614938
adorer,sucre,226,0.27889427915462195
sucre,adorer,226,0.27889427915462195
cuisson,faire,225,0.22725658853741557
super,petit,225,0.32374473798849446
petit,super,225,0.32374473798849446
goût,facile,225,0.17453972772356707
facile,goût,225,0.17453972772356707
faire,cuisson,225,0.22725658853741557
délice,recette,224,0.31031017427492646
recette,délice,224,0.31031017427492646
parfaire,délicieux,223,0.3352813483866514
délicieux,parfaire,223,0.3352813483866514
chocolat,mettre,221,0.32209465103217694
mettre,chocolat,221,0.32209465103217694
excellent,NA,220,0.2512407334640859
vrai,recette,220,0.4130212008287482
mettre,simple,220,0.2217465212638248
simple,mettre,220,0.2217465212638248
NA,excellent,220,0.2512407334640859
recette,vrai,220,0.4130212008287482
